DimEmployee_EmployeeKey,DimEmployee_EmployeeNationalIDAlternateKey,DimEmployee_SalesTerritoryKey,DimEmployee_FirstName,DimEmployee_LastName,DimEmployee_MiddleName,DimEmployee_Title,DimEmployee_HireDate,DimEmployee_BirthDate,DimEmployee_EmailAddress,DimEmployee_Phone,DimEmployee_MaritalStatus,DimEmployee_SalariedFlag,DimEmployee_Gender,DimEmployee_BaseRate,DimEmployee_CurrentFlag,DimEmployee_SalesPersonFlag,DimEmployee_DepartmentName,DimEmployee_StartDate,DimEmployee_EndDateKey,DimEmployee_Status
1,14417807,11,Guy,Gilbert,R,Production Technician - WC60,7/31/2004 0:00,5/15/1976 0:00,guy1@adventureworks.com,320-555-0195,M,0,M,12.45,1,0,Production,7/31/2004 0:00,,Current
2,253022876,11,Kevin,Brown,F,Marketing Assistant,2/26/2005 0:00,6/3/1981 0:00,kevin0@adventureworks.com,150-555-0189,S,0,M,13.4615,1,0,Marketing,2/26/2005 0:00,,Current
3,509647174,11,Roberto,Tamburello,,Engineering Manager,12/12/2005 0:00,12/13/1968 0:00,roberto0@adventureworks.com,212-555-0187,M,1,M,43.2692,1,0,Engineering,12/12/2005 0:00,,Current
4,112457891,11,Rob,Walters,,Senior Tool Designer,1/5/2006 0:00,1/23/1969 0:00,rob0@adventureworks.com,612-555-0100,S,0,M,29.8462,1,0,Tool Design,1/5/2006 0:00,6/30/2008 0:00,
5,112457891,11,Rob,Walters,,Senior Tool Designer,1/5/2006 0:00,1/23/1969 0:00,rob0@adventureworks.com,612-555-0100,S,0,M,29.8462,1,0,Tool Design,6/30/2008 0:00,,Current
6,480168528,11,Thierry,D'Hers,B,Tool Designer,1/11/2006 0:00,8/29/1953 0:00,thierry0@adventureworks.com,168-555-0183,M,0,M,25,1,0,Tool Design,1/11/2006 0:00,,Current
7,24756624,11,David,Bradley,M,Marketing Manager,1/20/2006 0:00,4/19/1969 0:00,david0@adventureworks.com,913-555-0172,S,1,M,37.5,1,0,Marketing,1/20/2006 0:00,8/15/2007 0:00,
8,24756624,11,David,Bradley,M,Marketing Manager,1/20/2006 0:00,4/19/1969 0:00,david0@adventureworks.com,913-555-0172,S,1,M,37.5,1,0,Marketing,8/16/2007 0:00,,Current
9,309738752,11,JoLynn,Dobney,M,Production Supervisor - WC60,1/26/2006 0:00,2/16/1950 0:00,jolynn0@adventureworks.com,903-555-0145,S,0,F,25,1,0,Production,1/26/2006 0:00,,Current
10,690627818,11,Ruth,Ellerbrock,Ann,Production Technician - WC10,2/6/2006 0:00,7/6/1950 0:00,ruth0@adventureworks.com,145-555-0130,M,0,F,13.45,1,0,Production,2/6/2006 0:00,,Current
11,695256908,11,Gail,Erickson,A,Design Engineer,2/6/2006 0:00,10/29/1946 0:00,gail0@adventureworks.com,849-555-0139,M,1,F,32.6923,1,0,Engineering,2/6/2006 0:00,,Current
12,912265825,11,Barry,Johnson,K,Production Technician - WC10,2/7/2006 0:00,4/27/1950 0:00,barry0@adventureworks.com,206-555-0180,S,0,M,13.45,1,0,Production,2/7/2006 0:00,,Current
13,998320692,11,Jossef,Goldberg,H,Design Engineer,2/24/2006 0:00,4/11/1953 0:00,jossef0@adventureworks.com,122-555-0189,M,1,M,32.6923,1,0,Engineering,2/24/2006 0:00,,Current
14,245797967,11,Terri,Duffy,Lee,Vice President of Engineering,3/3/2006 0:00,9/1/1965 0:00,terri0@adventureworks.com,819-555-0175,S,1,F,63.4615,1,0,Engineering,3/3/2006 0:00,,Current
15,844973625,11,Sidney,Higa,M,Production Technician - WC10,3/5/2006 0:00,10/1/1950 0:00,sidney0@adventureworks.com,424-555-0189,M,0,M,13.45,1,0,Production,3/5/2006 0:00,,Current
16,233069302,11,Taylor,Maxwell,R,Production Supervisor - WC50,3/11/2006 0:00,5/3/1950 0:00,taylor0@adventureworks.com,508-555-0165,M,0,M,25,1,0,Production,3/11/2006 0:00,,Current
17,132674823,11,Jeffrey,Ford,L,Production Technician - WC10,3/23/2006 0:00,8/12/1950 0:00,jeffrey0@adventureworks.com,984-555-0185,S,0,M,13.45,1,0,Production,3/23/2006 0:00,,Current
18,446466105,11,Jo,Brown,A,Production Supervisor - WC60,3/30/2006 0:00,11/9/1950 0:00,jo0@adventureworks.com,632-555-0129,S,0,F,25,1,0,Production,3/30/2006 0:00,,Current
19,565090917,11,Doris,Hartwig,M,Production Technician - WC10,4/11/2006 0:00,5/6/1950 0:00,doris0@adventureworks.com,328-555-0150,M,0,F,13.45,1,0,Production,4/11/2006 0:00,,Current
20,494170342,11,John,Campbell,T,Production Supervisor - WC60,4/18/2006 0:00,9/8/1950 0:00,john0@adventureworks.com,435-555-0113,M,0,M,25,1,0,Production,4/18/2006 0:00,,Current
21,9659517,11,Diane,Glimp,R,Production Technician - WC10,4/29/2006 0:00,4/30/1950 0:00,diane0@adventureworks.com,202-555-0151,M,0,F,13.45,1,0,Production,4/29/2006 0:00,,Current
22,443968955,11,Steven,Selikoff,T,Production Technician - WC30,1/2/2007 0:00,6/15/1971 0:00,steven0@adventureworks.com,925-555-0114,M,0,M,9.5,1,0,Production,1/2/2007 0:00,,Current
23,277173473,11,Peter,Krebs,J,Production Control Manager,1/2/2007 0:00,12/4/1976 0:00,peter0@adventureworks.com,913-555-0196,M,1,M,24.5192,1,0,Production Control,1/2/2007 0:00,,Current
